python llava/eval/model_sqa3d.py --num-chunks 1 --question-file /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d.json --video-folder /data/SceneUnderstanding/ScanNet/scans/ --answers-file /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --chunk-idx 0 --model-path /data/SceneUnderstanding/checkpoints/LLaVA-3D-7B/
python llava/eval/sqa3d_evaluator.py --pred-json /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --gt-json /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json --num-chunks 1 --chunk-idx 0 >> /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_output-rerun.txt
Namespace(pred_json=['/data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json'], gt_json='/data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json', num_chunks=1, chunk_idx=[0], use_enhanced_normalization=False, use_openai_evaluation=False)
Total samples: 424
pred_answer: blue gt_answers: brown
pred_answer: 11 gt_answers: eight
pred_answer: right gt_answers: forward
pred_answer: white gt_answers: brown
pred_answer: thereare11boxes gt_answers: two
pred_answer: left gt_answers: left
pred_answer: blue gt_answers: black
pred_answer: 11 gt_answers: eight
pred_answer: yes gt_answers: yes
pred_answer: right gt_answers: left
pred_answer: 2222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222 gt_answers: four
pred_answer: no gt_answers: no
pred_answer: right gt_answers: left
pred_answer: bucket gt_answers: copier
pred_answer: yes gt_answers: yes
pred_answer: 11 gt_answers: two
pred_answer: 11 gt_answers: two
pred_answer: left gt_answers: left
pred_answer: left gt_answers: left
pred_answer: 1 gt_answers: zero
pred_answer: right gt_answers: left
pred_answer: brown gt_answers: white
pred_answer: leftofthechair gt_answers: tomyrighthandside
pred_answer: no gt_answers: no
pred_answer: youcanreaditonthebulletinboardonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthewallonthe gt_answers: bulletinboard
pred_answer: yes gt_answers: yes
pred_answer: bathtub gt_answers: bathtub
pred_answer: no gt_answers: yes
pred_answer: left gt_answers: left
pred_answer: no,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot,icannot, gt_answers: yes
pred_answer: right gt_answers: left
pred_answer: 3 gt_answers: two
pred_answer: 2 gt_answers: zero
pred_answer: yes gt_answers: yes
pred_answer: bathtub gt_answers: bathtub
pred_answer: bathtub gt_answers: bathtub
pred_answer: even gt_answers: odd
pred_answer: bathtub gt_answers: toilet
pred_answer: right gt_answers: forward
pred_answer: shelf gt_answers: lightswitch
pred_answer: left gt_answers: forward
pred_answer: 11 gt_answers: eight
pred_answer: onthefloor gt_answers: behind
pred_answer: 22 gt_answers: four
pred_answer: brown gt_answers: brown
pred_answer: shelf gt_answers: picture
pred_answer: light gt_answers: unknown
pred_answer: rectangular gt_answers: unknown
pred_answer: 11 gt_answers: two
pred_answer: left gt_answers: right
pred_answer: onfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloorfloor gt_answers: behind
pred_answer: 44 gt_answers: four
pred_answer: yes gt_answers: no
pred_answer: yes gt_answers: yes
pred_answer: 11 gt_answers: four
pred_answer: youcangotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogotogoto gt_answers: behindme
pred_answer: printers gt_answers: printer
pred_answer: cabinet gt_answers: bathroomcabinet
pred_answer: copier gt_answers: copier
pred_answer: rectangular gt_answers: cube
pred_answer: right gt_answers: right
pred_answer: left gt_answers: left
pred_answer: yes gt_answers: yes
pred_answer: sink gt_answers: sink
pred_answer: yes gt_answers: no
pred_answer: left gt_answers: forward
pred_answer: right gt_answers: left
pred_answer: box gt_answers: printer
pred_answer: on gt_answers: on
pred_answer: right gt_answers: right
pred_answer: 11 gt_answers: two
pred_answer: front gt_answers: back
pred_answer: addclothesdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryerdryer gt_answers: dryersheets
pred_answer: yes gt_answers: no
pred_answer: right gt_answers: left
pred_answer: youcanseethesinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksinksink gt_answers: backward
pred_answer: 1 gt_answers: two
pred_answer: chair gt_answers: blackboard
pred_answer: washingmachine gt_answers: dryersheets
pred_answer: forward gt_answers: forward
pred_answer: theclothesinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinsideinside gt_answers: unknown
pred_answer: 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 gt_answers: two
pred_answer: metal gt_answers: metal
pred_answer: rectangular gt_answers: round
pred_answer: inrows gt_answers: inrows
pred_answer: table gt_answers: table
pred_answer: purple gt_answers: green
pred_answer: turnrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightrightright gt_answers: backward
pred_answer: yes gt_answers: no
pred_answer: chair gt_answers: door
pred_answer: yes gt_answers: yes
